timestamp,relative_humidity
2017-06-18 18:58:54,68.7
2017-06-18 19:28:55,67.5
2017-06-18 19:58:53,63.3
2017-06-18 20:28:54,61.2
2017-06-18 22:32:03,63.5
2017-06-18 23:02:03,62.8
2017-06-18 23:32:04,62.2
2017-06-19 00:02:03,61.6
2017-06-19 00:32:00,65.7
2017-06-19 01:02:04,67.0
2017-06-19 01:32:04,67.9
2017-06-19 02:02:04,68.5
2017-06-19 02:32:03,68.9
2017-06-19 03:02:04,71.1
2017-06-19 03:32:03,71.7
2017-06-19 04:02:04,72.4
2017-06-19 04:32:02,71.6
2017-06-19 05:02:04,71.5
2017-06-19 05:32:03,71.5
2017-06-19 06:02:04,71.5
2017-06-19 06:32:03,71.8
2017-06-19 07:02:03,70.8
2017-06-19 07:32:03,66.3
2017-06-19 08:02:04,61.7
2017-06-19 08:32:04,61.0
2017-06-19 09:02:04,56.5
2017-06-19 09:32:03,50.1
2017-06-19 10:02:03,52.8
2017-06-19 10:32:03,56.6
2017-06-19 11:02:02,54.3
2017-06-19 11:32:03,52.9
2017-06-19 12:02:04,51.4
2017-06-19 12:32:04,50.7
2017-06-19 13:02:03,47.7
2017-06-19 13:32:02,40.0
2017-06-19 14:02:03,38.1
2017-06-19 14:32:03,32.8
2017-06-19 15:02:02,31.5
2017-06-19 15:32:00,31.3
2017-06-19 16:02:03,32.3
2017-06-19 16:32:03,28.8
2017-06-19 17:02:01,27.1
2017-06-19 17:32:04,26.9
2017-06-19 18:02:03,28.1
2017-06-19 18:32:03,24.9
2017-06-19 19:02:03,25.3
2017-06-19 19:32:04,25.8
2017-06-19 20:02:04,28.4
2017-06-19 20:32:03,29.7
2017-06-19 21:02:02,31.2
2017-06-19 21:32:04,30.8
2017-06-19 22:02:03,31.8
2017-06-19 22:32:04,35.4
2017-06-19 23:02:04,37.7
2017-06-19 23:32:03,39.6
2017-06-20 00:02:04,41.9
2017-06-20 00:32:03,46.1
2017-06-20 01:02:03,46.9
2017-06-20 01:32:04,48.2
2017-06-20 02:02:03,50.5
2017-06-20 02:32:04,52.5
2017-06-20 03:02:03,54.6
2017-06-20 03:32:04,56.2
2017-06-20 04:02:04,57.7
2017-06-20 04:32:03,60.0
2017-06-20 05:02:03,66.0
2017-06-20 05:32:03,99.9
2017-06-20 06:02:03,88.0
2017-06-20 06:32:03,99.9
2017-06-20 07:02:03,99.9
2017-06-20 07:32:04,98.1
2017-06-20 08:02:03,99.9
2017-06-20 08:32:04,99.9
2017-06-20 09:02:03,99.9
2017-06-20 09:32:03,99.9
